club_id	name	club_type	host_school	city	postal_code	website	meeting_note	status	status_note
science-olympiad-canyon-crest-academy	Science Olympiad Team at Canyon Crest Academy	science-olympiad	Canyon Crest Academy	San Diego	92130		Fielded 5 teams (Div. C) at the 2026 San Diego Regional Tournament (Feb 28, 2026, University of San Diego); Exploding Kittens placed 1st overall.	active
science-olympiad-del-norte-high	Science Olympiad Team at Del Norte High School	science-olympiad	Del Norte High School	San Diego	92127		Fielded 2 teams (Div. C) at the 2026 San Diego Regional Tournament; Moto Moto placed 2nd overall.	active
science-olympiad-westview-high	Science Olympiad Team at Westview High School	science-olympiad	Westview High School	San Diego	92129		Fielded 3 teams (Div. C) at the 2026 San Diego Regional Tournament; Captain Barnacles placed 3rd overall.	active
science-olympiad-scripps-ranch-high	Science Olympiad Team at Scripps Ranch High School	science-olympiad	Scripps Ranch High School	San Diego	92131		Fielded 5 teams (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-torrey-pines-high	Science Olympiad Team at Torrey Pines High School	science-olympiad	Torrey Pines High School	San Diego	92130		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-rancho-bernardo-high	Science Olympiad Team at Rancho Bernardo High School	science-olympiad	Rancho Bernardo High School	San Diego	92128		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-mt-carmel-high	Science Olympiad Team at Mt. Carmel High School	science-olympiad	Mt. Carmel High School	San Diego	92128		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-university-city-high	Science Olympiad Team at University City High School	science-olympiad	University City High School	San Diego	92122		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-la-costa-canyon-high	Science Olympiad Team at La Costa Canyon High School	science-olympiad	La Costa Canyon High School	Carlsbad	92009		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-bishops-school	Science Olympiad Team at The Bishop's School	science-olympiad	The Bishop's School	La Jolla	92037		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-grauer-school	Science Olympiad Team at The Grauer School	science-olympiad	The Grauer School	Encinitas	92024		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-sage-creek-high	Science Olympiad Team at Sage Creek High School	science-olympiad	Sage Creek High School	Carlsbad	92009		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-la-jolla-high	Science Olympiad Team at La Jolla High School	science-olympiad	La Jolla High School	La Jolla	92037		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-rancho-buena-vista-high	Science Olympiad Team at Rancho Buena Vista High School	science-olympiad	Rancho Buena Vista High School	Vista	92081		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-san-marcos-high	Science Olympiad Team at San Marcos High School	science-olympiad	San Marcos High School	San Marcos	92069		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-san-dieguito-academy	Science Olympiad Team at San Dieguito High School Academy	science-olympiad	San Dieguito High School Academy	Encinitas	92024		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-mira-mesa-high	Science Olympiad Team at Mira Mesa High School	science-olympiad	Mira Mesa High School	San Diego	92126		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-poway-high	Science Olympiad Team at Poway High School	science-olympiad	Poway High School	Poway	92064		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-academy-our-lady-of-peace	Science Olympiad Team at Academy of Our Lady of Peace	science-olympiad	Academy of Our Lady of Peace	San Diego	92116		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-carlsbad-high	Science Olympiad Team at Carlsbad High School	science-olympiad	Carlsbad High School	Carlsbad	92008		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-pacific-ridge-school	Science Olympiad Team at Pacific Ridge School	science-olympiad	Pacific Ridge School	Carlsbad	92009		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-olympian-high	Science Olympiad Team at Olympian High School	science-olympiad	Olympian High School	Chula Vista	91913		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-preuss-school	Science Olympiad Team at The Preuss School UC San Diego	science-olympiad	The Preuss School UC San Diego	La Jolla	92093		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
science-olympiad-cathedral-catholic-high	Science Olympiad Team at Cathedral Catholic High School	science-olympiad	Cathedral Catholic High School	San Diego	92130		Competed (Div. C) at the 2026 San Diego Regional Tournament.	active
